"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Special Mention)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Budget (Railways))";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Submissions By Members)";"Debates (Ls - Motion To Consider Policy, Situation, Statement Or Any Other Matter (Rule- 191 & 342))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Questions (Tribal Affairs)";"Questions (Finance)";"Questions (Health And Family Welfare)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Railways)";"Questions (Human Resource Development)";"Questions (Urban Development)";"Questions (Home Affairs)";"Questions (Agriculture)";"Questions (Civil Aviation)";"Questions (Prime Minister)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Environment And Forests)";"Questions (Labour And Employment)";"Questions (Defence)";"Questions (Power)";"Questions (Social Justice And Empowerment)";"Questions (Road Transport And Highways)";"Questions (Steel)";"Questions (Petroleum And Natural Gas)";"Questions (Minority Affairs)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Commerce And Industry)";"Questions (Overseas Indian Affairs)";"Questions (External Affairs)";"Questions (Chemicals And Fertilizers)";"Questions (Law And Justice)";"Questions (Mines)";"Questions (Women And Child Development)";"Questions (New And Renewable Energy)";"Questions (Shipping)";"Questions (Tourism)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Information And Broadcasting)";"Questions (Textiles)";"Questions (Water Resources)";"Questions (Culture)";"Questions (Youth Affairs And Sports)";"Questions (Coal)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Drinking Water And Sanitation)";"Questions (Development Of North Eastern Region)";"Questions (Earth Sciences)";"Questions (Panchayati Raj)";"Questions (Food Processing Industries)";"Questions (Statistics And Programme Implementation)";"Questions (Science And Technology)";"Debates (Private Members' Bills)";"Debates (Private Members' Resolutions)";"Debates (Government Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Budget (States))";"Debates (Ls - Matters Of Urgent Public Importance (Rule-184))";"Debates (Statutory Resolutions)";"Debates (Felicitations)";"Debates (Adjournment Motion)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Parliamentary Affairs)";"Debates (Others)";"Debates (Clarification On The Statement By Minister)";"Questions (Planning)";"Debates (Ls - Explanation By Members (Rule-199))"
"Sai Prathap Annayyagari";"Rajampet";"Yes";"76.89%";"1";"163";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"69";"Male";"Under Graduate";"This MP was a Minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28";"7";"2";"2";"2";"6";"1";"4";"5";"6";"4";"3";"3";"2";"5";"9";"0";"4";"4";"8";"0";"8";"5";"9";"2";"2";"5";"0";"0";"0";"1";"1";"1";"1";"2";"3";"2";"4";"1";"5";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Sajjan Singh Verma";"Dewas";"No";"89.19%";"64";"434";"0";"Madhya Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"60";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"24";"28";"0";"1";"5";"1";"3";"0";"1";"7";"19";"25";"1";"2";"27";"24";"4";"18";"25";"13";"16";"12";"14";"9";"10";"14";"16";"8";"4";"20";"3";"11";"13";"16";"0";"5";"8";"6";"3";"7";"10";"2";"4";"2";"10";"8";"14";"5";"10";"1";"3";"2";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sakti Mohan Malik";"Arambagh";"No";"85.62%";"7";"28";"0";"West Bengal";"Communist Party of India (Marxist)";"Elected";"18 May 09";"In office";"";"54";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"3";"0";"2";"1";"0";"0";"1";"0";"0";"0";"4";"1";"0";"0";"2";"4";"1";"2";"0";"2";"1";"2";"0";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S. Alagiri";"Cuddalore";"No";"69.19%";"25";"583";"0";"Tamil Nadu";"Indian National Congress";"Elected";"18 May 09";"In office";"";"61";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"19";"0";"1";"0";"0";"0";"0";"1";"2";"56";"30";"9";"4";"21";"15";"9";"19";"28";"16";"38";"39";"20";"25";"6";"10";"3";"10";"1";"35";"1";"29";"12";"24";"6";"0";"13";"6";"3";"4";"4";"6";"5";"4";"22";"14";"6";"0";"7";"5";"7";"2";"0";"2";"1";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Salman Khurshid";"Farrukhabad";"Yes";"";"0";"0";"0";"Uttar Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"61";"Male";"Post Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sambasiva Rayapati Rao";"Guntur";"No";"61.13%";"14";"690";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"70";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"10";"0";"0";"3";"0";"0";"0";"0";"0";"61";"35";"4";"4";"30";"38";"9";"28";"44";"28";"20";"32";"26";"11";"19";"16";"6";"21";"3";"23";"5";"21";"16";"34";"3";"25";"8";"8";"7";"5";"9";"9";"3";"6";"14";"7";"13";"3";"7";"5";"6";"2";"1";"5";"1";"6";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sameer Magan Bhujbal";"Nashik";"No";"69.50%";"15";"346";"0";"Maharashtra";"Nationalist Congress Party";"Elected";"18 May 09";"In office";"";"40";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"1";"0";"2";"5";"3";"0";"0";"2";"0";"14";"32";"0";"2";"28";"9";"12";"12";"8";"12";"17";"11";"15";"7";"20";"10";"10";"15";"0";"11";"0";"14";"5";"14";"1";"6";"1";"4";"2";"3";"7";"2";"4";"1";"1";"1";"8";"7";"5";"3";"5";"1";"0";"3";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Sandeep Dikshit";"East Delhi";"No";"89.81%";"16";"2";"0";"Delhi";"Indian National Congress";"Elected";"18 May 09";"In office";"";"49";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"6";"4";"0";"0";"0";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjay Bhoi";"Bargarh";"No";"86.56%";"4";"421";"0";"Orissa";"Indian National Congress";"Elected";"18 May 09";"In office";"";"39";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"1";"1";"0";"2";"0";"0";"0";"0";"1";"47";"40";"8";"5";"21";"27";"7";"26";"13";"18";"12";"11";"16";"5";"6";"11";"0";"11";"7";"6";"1";"17";"7";"24";"1";"5";"7";"4";"1";"3";"1";"8";"3";"2";"8";"4";"3";"4";"3";"3";"9";"1";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjay Dina Patil";"Mumbai-North-East";"No";"81.56%";"7";"467";"0";"Maharashtra";"Nationalist Congress Party";"Elected";"18 May 09";"In office";"";"45";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"1";"0";"1";"3";"0";"0";"0";"2";"2";"15";"33";"1";"2";"21";"41";"17";"37";"3";"15";"16";"4";"13";"5";"23";"13";"5";"26";"1";"18";"2";"19";"17";"13";"0";"5";"4";"8";"6";"4";"11";"8";"3";"0";"6";"2";"5";"3";"8";"12";"12";"0";"0";"3";"2";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjay Jaiswal";"Paschim Champaran";"No";"84.25%";"40";"208";"0";"Bihar";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"48";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"17";"4";"3";"4";"2";"0";"7";"1";"1";"2";"6";"13";"2";"0";"5";"8";"3";"6";"9";"2";"13";"12";"12";"2";"3";"9";"7";"6";"1";"8";"1";"9";"8";"1";"0";"1";"5";"2";"1";"7";"13";"2";"1";"1";"4";"4";"3";"1";"4";"4";"1";"0";"0";"0";"2";"1";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjay Nirupam";"Mumbai-North";"No";"87.62%";"57";"334";"0";"Maharashtra";"Indian National Congress";"Elected";"18 May 09";"In office";"";"49";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"16";"0";"14";"7";"4";"1";"6";"0";"5";"2";"32";"22";"1";"2";"25";"17";"10";"20";"16";"22";"7";"11";"12";"9";"10";"8";"4";"4";"0";"6";"4";"7";"5";"11";"5";"7";"4";"3";"1";"4";"3";"2";"4";"1";"2";"3";"9";"1";"5";"2";"3";"5";"1";"0";"1";"1";"0";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjay Shamrao Dhotre";"Akola";"No";"74.19%";"18";"395";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"55";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"3";"3";"2";"1";"6";"0";"0";"0";"3";"1";"29";"37";"1";"2";"22";"15";"13";"23";"29";"23";"8";"18";"17";"10";"12";"4";"8";"5";"0";"11";"1";"26";"7";"19";"0";"2";"3";"1";"0";"7";"0";"0";"3";"10";"3";"12";"0";"2";"2";"2";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjay Singh Chauhan";"Bijnor";"No";"88.94%";"34";"277";"0";"Uttar Pradesh";"Rashtriya Lok Dal";"Elected";"18 May 09";"In office";"";"52";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"5";"3";"5";"4";"3";"1";"2";"6";"0";"16";"16";"0";"0";"16";"21";"10";"11";"21";"3";"12";"16";"6";"5";"7";"5";"0";"20";"1";"14";"0";"8";"12";"8";"2";"4";"2";"2";"2";"9";"6";"0";"2";"0";"0";"2";"6";"0";"2";"1";"7";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjay Sinh";"Sultanpur";"No";"80.94%";"28";"666";"0";"Uttar Pradesh";"Indian National Congress";"Elected";"18 May 09";"07/02/2014";"";"62";"Male";"Doctorate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"6";"20";"0";"2";"0";"0";"0";"0";"0";"0";"52";"34";"4";"5";"18";"25";"11";"20";"31";"12";"46";"31";"15";"21";"3";"22";"12";"19";"0";"33";"1";"44";"41";"27";"0";"4";"12";"3";"5";"8";"10";"9";"8";"5";"14";"13";"19";"0";"13";"2";"5";"1";"0";"0";"2";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjeev Ganesh Naik";"Thane";"No";"93.19%";"76";"756";"2";"Maharashtra";"Nationalist Congress Party";"Elected";"18 May 09";"In office";"";"41";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"21";"10";"14";"10";"5";"1";"9";"1";"5";"1";"31";"56";"3";"5";"36";"62";"26";"72";"1";"15";"25";"6";"15";"10";"26";"21";"4";"36";"8";"32";"3";"30";"34";"30";"1";"23";"9";"14";"5";"9";"10";"14";"8";"0";"12";"7";"9";"2";"8";"18";"10";"0";"0";"1";"1";"0";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sansuma Khunggur Bwiswmuthiary";"Kokrajhar";"No";"63.25%";"51";"100";"0";"Assam";"Bodoland People's Front";"Elected";"18 May 09";"In office";"";"54";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"8";"5";"14";"10";"3";"1";"1";"1";"4";"14";"1";"4";"0";"0";"6";"8";"0";"18";"3";"4";"0";"1";"4";"2";"2";"2";"1";"5";"0";"1";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"4";"2";"0";"0";"0";"2";"0";"7";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Santosh Chowdhary";"Hoshiarpur";"Yes";"83.46%";"39";"0";"0";"Punjab";"Indian National Congress";"Elected";"18 May 09";"In office";"";"69";"Female";"Post Graduate";"This MP was appointed a minister in Jun, 2013. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 8th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"24";"0";"1";"5";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sarika Singh Baghel";"Hathras";"No";"93.50%";"1";"23";"0";"Uttar Pradesh";"Rashtriya Lok Dal";"Elected";"18 May 09";"In office";"";"33";"Female";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"2";"4";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"2";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Saroj Pandey";"Durg";"No";"65.62%";"33";"439";"4";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"45";"Female";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"13";"9";"2";"1";"4";"2";"0";"0";"1";"7";"11";"15";"0";"6";"19";"12";"10";"21";"19";"14";"24";"23";"23";"15";"12";"7";"4";"18";"26";"11";"8";"6";"7";"7";"4";"2";"6";"7";"8";"6";"3";"0";"4";"3";"9";"9";"15";"9";"5";"3";"5";"3";"0";"0";"3";"9";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Satabdi Roy";"Birbhum";"No";"74.62%";"6";"0";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18 May 09";"In office";"";"44";"Female";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"1";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sathyanarayana Sarvey";"Malkajgiri";"Yes";"73.91%";"4";"267";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"59";"Male";"Post Graduate";"This MP was appointed a minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"2";"0";"1";"0";"0";"0";"0";"0";"3";"25";"18";"1";"0";"7";"15";"2";"11";"23";"5";"8";"12";"9";"4";"6";"8";"5";"5";"2";"12";"0";"4";"4";"22";"1";"4";"5";"2";"4";"1";"4";"2";"1";"1";"2";"5";"5";"2";"4";"4";"2";"0";"0";"0";"2";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Satpal Maharaj";"Garhwal";"No";"87.19%";"155";"139";"9";"Uttarakhand";"Indian National Congress";"Elected";"18 May 09";"In office";"";"62";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"61";"32";"8";"14";"9";"4";"1";"0";"9";"0";"1";"7";"1";"4";"6";"10";"2";"12";"4";"9";"8";"7";"10";"4";"6";"4";"2";"4";"0";"6";"1";"6";"3";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"2";"5";"2";"1";"0";"1";"1";"0";"2";"1";"0";"1";"1";"4";"9";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Saugata Roy";"Dum Dum";"Yes";"94.80%";"68";"195";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18 May 09";"In office";"";"66";"Male";"Post Graduate";"This MP was a Minister. He tendered his resignation on 21st Sep, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"18";"9";"15";"4";"1";"1";"9";"0";"4";"3";"15";"15";"3";"5";"3";"6";"5";"12";"5";"3";"4";"3";"9";"0";"8";"3";"8";"6";"1";"10";"1";"5";"5";"12";"0";"9";"4";"1";"0";"3";"1";"1";"1";"1";"5";"2";"3";"1";"1";"3";"3";"4";"0";"1";"0";"1";"0";"0";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Seema Upadhyay";"Fatehpur Sikri";"No";"83.94%";"13";"399";"0";"Uttar Pradesh";"Bahujan Samaj Party";"Elected";"18 May 09";"In office";"";"48";"Female";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"9";"0";"0";"1";"0";"0";"0";"1";"0";"23";"27";"1";"0";"31";"24";"9";"25";"17";"16";"15";"19";"17";"7";"24";"6";"3";"3";"2";"19";"3";"8";"11";"9";"0";"18";"6";"2";"0";"3";"1";"2";"2";"2";"7";"1";"10";"0";"5";"8";"0";"8";"0";"0";"4";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Selja";"Ambala";"Yes";"";"0";"0";"0";"Haryana";"Indian National Congress";"Elected";"18 May 09";"31/01/2014";"";"51";"Female";"Post Graduate";"This MP is elected to Rajya Sabha. This MP was a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S. Gandhiselvan";"Namakkal";"Yes";"62.50%";"2";"0";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"50";"Male";"Post Graduate";"This MP was a Minister. He tendered his resignation on 20th Mar, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 21st Mar, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shafiqur Rahman Barq";"Sambhal";"No";"98.56%";"31";"97";"0";"Uttar Pradesh";"Bahujan Samaj Party";"Elected";"18 May 09";"In office";"";"83";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"3";"17";"1";"0";"5";"3";"0";"0";"1";"0";"11";"7";"0";"1";"10";"7";"1";"7";"1";"1";"2";"3";"1";"5";"1";"3";"0";"7";"0";"2";"7";"4";"1";"0";"2";"3";"0";"2";"0";"1";"1";"0";"0";"0";"0";"3";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shailendra Kumar";"Kaushambi";"No";"96.56%";"353";"168";"3";"Uttar Pradesh";"Samajwadi Party";"Elected";"18 May 09";"In office";"";"53";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"106";"29";"92";"24";"11";"2";"23";"3";"23";"0";"5";"12";"0";"0";"7";"22";"5";"19";"11";"3";"3";"7";"7";"3";"9";"4";"2";"3";"0";"1";"3";"1";"4";"2";"1";"9";"2";"2";"2";"2";"0";"0";"1";"0";"1";"0";"1";"1";"3";"4";"0";"1";"0";"1";"2";"1";"0";"1";"9";"10";"1";"9";"2";"0";"1";"0";"1";"6";"0";"0";"1";"0";"0"
"Sharad Chandra Govindrao Pawar";"Madha";"Yes";"";"0";"0";"0";"Maharashtra";"Nationalist Congress Party";"Elected";"18 May 09";"31/01/2014";"";"73";"Male";"Graduate";"This MP is elected to Rajya Sabha. This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sharad Yadav";"Madhepura";"No";"80.56%";"159";"42";"0";"Bihar";"Janata Dal (United)";"Elected";"18 May 09";"In office";"";"66";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"46";"0";"12";"4";"0";"4";"56";"3";"25";"0";"4";"6";"0";"0";"0";"0";"1";"4";"1";"2";"2";"2";"1";"2";"4";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"1";"0";"3";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"2";"2";"0";"0";"1";"0";"0";"0"
"Sharifuddin Shariq";"Baramulla";"No";"88.75%";"43";"58";"0";"Jammu and Kashmir";"Jammu and Kashmir National Conference";"Elected";"18 May 09";"In office";"";"78";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"12";"5";"4";"3";"7";"0";"5";"0";"1";"11";"0";"0";"5";"2";"2";"6";"1";"3";"1";"1";"0";"1";"2";"0";"0";"4";"0";"3";"1";"1";"0";"0";"0";"8";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"1";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Shashi Tharoor";"Thiruvananthapuram";"Yes";"87.38%";"12";"88";"1";"Kerala";"Indian National Congress";"Elected";"18 May 09";"In office";"";"57";"Male";"Doctorate";"This MP was a Minister till 18th Apr, 2010. He was again appointed Minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only from 19th Apr, 2010 to 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"2";"3";"2";"0";"2";"0";"0";"0";"0";"3";"6";"0";"0";"5";"6";"4";"12";"0";"7";"2";"4";"0";"0";"6";"3";"1";"3";"0";"0";"0";"1";"4";"0";"0";"4";"1";"1";"1";"1";"1";"0";"0";"2";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Shatrughan Sinha";"Patna Sahib";"No";"73.31%";"7";"66";"0";"Bihar";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"67";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"0";"1";"0";"0";"0";"1";"0";"1";"0";"5";"5";"0";"0";"1";"2";"1";"6";"0";"3";"2";"3";"4";"2";"3";"2";"0";"0";"0";"2";"0";"0";"4";"2";"0";"1";"0";"3";"0";"1";"0";"0";"0";"2";"2";"0";"1";"0";"4";"0";"1";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
