"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Ls - Matters Under (Rule-377))";"Debates (Special Mention)";"Debates (Government Bills)";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Private Members' Bills)";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Budget (General))";"Debates (Motion Of Thanks On The President�S Address)";"Questions (Development Of North Eastern Region)";"Questions (Law And Justice)";"Questions (Health And Family Welfare)";"Questions (Minority Affairs)";"Questions (Textiles)";"Questions (Railways)";"Questions (Home Affairs)";"Questions (Environment, Forest And Climate Change)";"Questions (Tourism)";"Questions (Culture)";"Questions (Ayush)";"Questions (Ports, Shipping And Waterways)";"Questions (Jal Shakti)";"Questions (Communications)";"Questions (Planning)";"Questions (Agriculture And Farmers Welfare)";"Questions (Finance)";"Questions (Prime Minister)";"Questions (Women And Child Development)";"Questions (Road Transport And Highways)";"Questions (Social Justice And Empowerment)";"Questions (Coal)";"Questions (Parliamentary Affairs)";"Questions (Tribal Affairs)";"Questions (Education)";"Questions (External Affairs)";"Questions (Civil Aviation)";"Questions (Commerce And Industry)";"Questions (Statistics And Programme Implementation)";"Questions (Power)";"Questions (Labour And Employment)";"Questions (Steel)";"Questions (Defence)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Electronics And Information Technology)";"Questions (Rural Development)";"Questions (Panchayati Raj)";"Questions (Information And Broadcasting)";"Questions (Youth Affairs And Sports)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Housing And Urban Affairs)";"Questions (Petroleum And Natural Gas)";"Questions (Skill Development And Entrepreneurship)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Human Resource Development)";"Questions (Shipping)";"Questions (Earth Sciences)";"Questions (Food Processing Industries)";"Questions (Mines)";"Questions (Cooperation)";"Questions (Chemicals And Fertilizers)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (New And Renewable Energy)";"Questions (Science And Technology)";"Questions (Statiscs And Programme Implementation)";"Debates (Others)";"Debates (Discussion)";"Debates (Private Members' Resolutions)";"Debates (Submissions By Members)";"Debates (Statement By Minister)";"Debates (Clarification On The Statement By Minister)";"Debates (Felicitations)";"Questions (Consumer Affairs)";"Questions (Micro)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Atomic Energy)";"Questions (Heavy Industries)";"Questions (Space)";"Questions (Personnel, Public Grievances And Pensions)"
"Sangeeta Kumari Singh Deo";"Bolangir";"No";"92.53%";"49";"502";"1";"Odisha";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Fourth Term";"62";"Female";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"25";"13";"6";"0";"0";"2";"3";"0";"2";"8";"32";"1";"13";"18";"6";"16";"5";"7";"7";"4";"12";"6";"3";"17";"27";"6";"17";"11";"13";"4";"0";"4";"20";"6";"9";"16";"2";"9";"14";"0";"8";"9";"11";"15";"3";"12";"2";"5";"6";"22";"4";"6";"12";"8";"2";"3";"10";"3";"4";"16";"9";"3";"13";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanghamitra Maurya";"Badaun";"No";"98.27%";"57";"86";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"39";"Female";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"16";"17";"4";"1";"0";"2";"14";"1";"0";"1";"9";"2";"0";"4";"2";"4";"3";"0";"4";"0";"3";"5";"0";"4";"3";"2";"3";"3";"0";"0";"0";"1";"2";"0";"1";"1";"0";"0";"7";"0";"1";"3";"0";"5";"1";"0";"1";"0";"1";"1";"3";"2";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjay (Bandu) Haribhau Jadhav";"Parbhani";"No";"51.60%";"12";"346";"0";"Maharashtra";"Shiv Sena";"Elected";"23-05-2019";"In Office";"Second Term";"56";"Male";"Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"5";"6";"1";"0";"0";"0";"0";"0";"0";"7";"28";"0";"13";"26";"8";"7";"3";"1";"11";"2";"13";"14";"0";"25";"19";"0";"8";"10";"1";"1";"0";"5";"10";"3";"6";"4";"1";"4";"17";"1";"1";"10";"5";"20";"3";"0";"8";"2";"0";"14";"5";"9";"2";"1";"0";"2";"4";"0";"0";"5";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjay Bhatia";"Karnal";"No";"82.53%";"15";"194";"3";"Haryana";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"56";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"8";"7";"0";"0";"0";"0";"0";"0";"0";"6";"12";"1";"9";"16";"3";"9";"4";"7";"8";"0";"3";"1";"1";"12";"2";"0";"7";"13";"1";"0";"0";"0";"6";"0";"4";"4";"0";"1";"9";"0";"2";"3";"1";"4";"2";"0";"4";"3";"1";"6";"1";"9";"3";"1";"0";"1";"4";"0";"0";"4";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Sanjay Jaiswal";"Paschim Champaran";"No";"76.80%";"94";"195";"9";"Bihar";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Third Term";"58";"Male";"Professional Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"10";"56";"10";"1";"0";"5";"8";"1";"0";"5";"22";"0";"2";"12";"6";"4";"2";"7";"5";"1";"4";"3";"3";"8";"10";"7";"9";"3";"5";"1";"0";"4";"6";"1";"4";"3";"0";"2";"1";"1";"1";"4";"1";"2";"0";"4";"4";"1";"2";"6";"3";"2";"5";"2";"0";"4";"2";"1";"1";"6";"0";"1";"2";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjay Kumar Bandi";"Karimnagar";"No";"69.73%";"6";"57";"0";"Telangana";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"52";"Male";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"2";"0";"0";"0";"0";"2";"0";"0";"1";"5";"0";"1";"3";"2";"0";"0";"1";"1";"0";"2";"0";"0";"2";"8";"0";"2";"1";"2";"0";"0";"0";"0";"0";"0";"3";"0";"0";"4";"0";"0";"2";"3";"3";"0";"0";"0";"0";"0";"4";"1";"0";"2";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjay Sadashivrao Mandlik";"Kolhapur";"No";"67.93%";"6";"605";"0";"Maharashtra";"Shiv Sena";"Elected";"23-05-2019";"In Office";"First Term";"59";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"1";"5";"0";"0";"0";"0";"0";"0";"0";"11";"44";"1";"8";"30";"15";"30";"9";"13";"10";"3";"17";"11";"3";"44";"31";"2";"5";"21";"5";"7";"0";"3";"23";"11";"28";"23";"0";"8";"19";"4";"10";"17";"12";"7";"3";"8";"6";"10";"1";"10";"5";"4";"7";"6";"5";"9";"3";"3";"2";"5";"13";"6";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Sanjay Seth";"Ranchi";"No";"89.47%";"77";"211";"0";"Jharkhand";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"64";"Male";"Information not available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"19";"33";"5";"4";"0";"3";"12";"0";"0";"7";"12";"2";"1";"4";"3";"7";"7";"4";"5";"1";"4";"8";"0";"9";"5";"1";"11";"3";"2";"5";"0";"5";"11";"4";"6";"2";"0";"3";"4";"1";"1";"5";"6";"7";"3";"1";"6";"1";"2";"6";"3";"4";"3";"4";"0";"2";"1";"2";"1";"5";"4";"3";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Sanjay Shamrao Dhotre";"Akola";"Yes";"0.00%";"0";"0";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Fourth Term";"64";"Male";"Professional Graduate";"This MP was a minister from May 30, 2019 to July 07, 2021. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjaykaka Patil";"Sangli";"No";"44.13%";"9";"302";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"59";"Male";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"1";"3";"1";"0";"0";"0";"4";"0";"0";"9";"22";"3";"5";"11";"5";"9";"6";"7";"11";"0";"8";"6";"1";"13";"10";"7";"6";"5";"3";"3";"0";"4";"10";"1";"5";"9";"0";"4";"17";"1";"4";"10";"4";"6";"0";"5";"1";"6";"5";"8";"6";"8";"7";"3";"0";"3";"8";"1";"2";"3";"5";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sanjeev Kumar Ayushman";"Kurnool";"No";"63.87%";"19";"243";"6";"Andhra Pradesh";"Yuvajana Sramika Rythu Congress Party";"Elected";"23-05-2019";"In Office";"First Term";"57";"Male";"Doctorate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"2";"4";"12";"0";"0";"0";"1";"0";"0";"5";"20";"7";"12";"7";"7";"4";"2";"5";"5";"3";"4";"5";"0";"11";"5";"4";"5";"7";"6";"3";"0";"4";"15";"3";"13";"9";"1";"1";"5";"0";"1";"5";"2";"3";"1";"0";"0";"3";"2";"10";"1";"3";"5";"0";"0";"2";"3";"4";"1";"11";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Sanjeev Kumar Balyan";"Muzaffarnagar";"Yes";"";"0";"0";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"51";"Male";"Doctorate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Santokh Singh Chaudhary";"Jalandhar";"No";"82.20%";"19";"45";"2";"Punjab";"Indian National Congress";"Elected";"23-05-2019";"14-01-2023";"Second Term";"77";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"10";"3";"0";"0";"1";"5";"0";"0";"1";"4";"1";"0";"0";"0";"1";"0";"2";"0";"0";"1";"2";"0";"2";"2";"1";"2";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"3";"0";"2";"1";"1";"2";"0";"0";"1";"1";"0";"3";"0";"0";"3";"1";"0";"1";"0";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Santosh Kumar";"Purnia";"No";"82.80%";"26";"128";"0";"Bihar";"Janata Dal (United)";"Elected";"23-05-2019";"In Office";"Second Term";"48";"Male";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"4";"13";"2";"2";"0";"0";"5";"0";"0";"1";"14";"0";"2";"9";"1";"2";"1";"0";"4";"0";"6";"3";"2";"11";"12";"0";"1";"9";"0";"1";"0";"0";"7";"0";"6";"1";"0";"3";"1";"0";"1";"1";"1";"5";"0";"0";"0";"0";"0";"3";"2";"0";"4";"1";"1";"0";"2";"1";"1";"4";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Santosh Kumar Gangwar";"Bareilly";"Yes";"96.20%";"1";"9";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Eighth Term";"75";"Male";"Professional Graduate";"This MP was a minister from May 30, 2019 to July 07, 2021. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Santosh Pandey";"Rajnandgaon";"No";"81.20%";"41";"106";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"56";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"6";"26";"3";"1";"0";"1";"3";"0";"0";"0";"8";"1";"1";"6";"3";"6";"4";"0";"0";"0";"4";"2";"0";"2";"6";"2";"6";"7";"2";"0";"0";"5";"0";"0";"0";"0";"1";"1";"2";"0";"1";"2";"0";"6";"1";"3";"1";"2";"0";"4";"4";"1";"1";"1";"0";"0";"0";"2";"2";"2";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Saptagiri Sankar Ulaka";"Koraput";"No";"90.93%";"124";"240";"2";"Odisha";"Indian National Congress";"Elected";"23-05-2019";"In Office";"First Term";"45";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"12";"69";"17";"4";"0";"3";"18";"1";"0";"7";"31";"1";"3";"19";"8";"8";"5";"3";"4";"0";"6";"5";"0";"11";"4";"1";"5";"15";"4";"1";"0";"17";"9";"2";"13";"2";"4";"2";"3";"0";"2";"5";"3";"9";"1";"2";"3";"1";"0";"3";"3";"1";"5";"1";"0";"0";"0";"2";"0";"4";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sarmistha Sethi";"Jajpur";"No";"58.13%";"32";"214";"0";"Odisha";"Biju Janata Dal";"Elected";"23-05-2019";"In Office";"First Term";"50";"Female";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"4";"12";"11";"0";"0";"0";"4";"0";"0";"3";"15";"2";"3";"11";"7";"6";"2";"5";"6";"6";"7";"1";"3";"13";"7";"4";"6";"7";"7";"2";"0";"6";"7";"7";"5";"5";"0";"3";"5";"2";"4";"5";"2";"2";"2";"3";"1";"1";"0";"4";"0";"1";"1";"1";"0";"0";"5";"1";"1";"6";"2";"6";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Satabdi Roy";"Birbhum";"No";"79.80%";"24";"1";"0";"West Bengal";"All India Trinamool Congress";"Elected";"23-05-2019";"In Office";"Third Term";"54";"Female";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"14";"5";"1";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Satish Kumar";"Aligarh";"No";"91.40%";"8";"0";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"51";"Male";"Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"6";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Satya Pal Singh";"Baghpat";"No";"94.87%";"50";"18";"2";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"68";"Male";"Doctorate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"18";"19";"2";"1";"5";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"1";"0";"1";"2";"2";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Satyadev Pachauri";"Kanpur";"No";"90.80%";"24";"172";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"76";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"14";"10";"0";"0";"0";"0";"0";"0";"1";"6";"16";"0";"3";"7";"2";"7";"1";"3";"3";"2";"2";"5";"0";"13";"7";"4";"5";"2";"2";"2";"0";"4";"9";"2";"7";"4";"0";"3";"5";"0";"1";"5";"5";"5";"3";"1";"0";"1";"2";"5";"0";"2";"2";"0";"0";"0";"2";"0";"1";"3";"1";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Saugata Roy";"Dum Dum";"No";"81.60%";"195";"350";"3";"West Bengal";"All India Trinamool Congress";"Elected";"23-05-2019";"In Office";"Fourth Term";"76";"Male";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"48";"33";"76";"4";"1";"6";"16";"1";"0";"8";"27";"2";"4";"12";"17";"21";"7";"3";"5";"7";"7";"9";"1";"9";"21";"11";"5";"1";"4";"0";"0";"3";"9";"14";"10";"12";"0";"6";"9";"0";"4";"9";"0";"5";"1";"9";"4";"2";"4";"11";"14";"2";"1";"4";"1";"6";"1";"2";"4";"8";"11";"3";"0";"0";"1";"1";"1";"6";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Saumitra Khan";"Bishnupur";"No";"78.80%";"27";"120";"0";"West Bengal";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"43";"Male";"Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"1";"14";"3";"0";"0";"4";"5";"0";"0";"4";"5";"1";"1";"4";"2";"4";"4";"4";"0";"1";"3";"3";"1";"3";"3";"1";"4";"1";"2";"3";"0";"3";"4";"3";"0";"1";"0";"4";"3";"1";"4";"3";"3";"3";"2";"0";"7";"0";"0";"4";"5";"3";"0";"1";"0";"1";"0";"0";"2";"7";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shafiqur Rahman Barq";"Sambhal";"No";"89.40%";"14";"1";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"23-05-2019";"In Office";"Fifth Term";"93";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"2";"6";"0";"1";"0";"1";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shankar Lalwani";"Indore";"No";"96.07%";"41";"213";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"62";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"1";"21";"8";"3";"0";"2";"6";"0";"0";"3";"12";"0";"3";"13";"4";"11";"2";"7";"14";"2";"6";"11";"0";"14";"11";"1";"7";"7";"1";"3";"0";"1";"9";"0";"8";"3";"0";"4";"1";"0";"3";"5";"2";"1";"0";"2";"1";"0";"3";"5";"8";"1";"5";"2";"0";"2";"3";"0";"1";"4";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Shantanu Thakur";"Bangaon";"Yes";"75.60%";"9";"111";"0";"West Bengal";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"41";"Male";"Information Not Available";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"2";"5";"2";"0";"0";"0";"0";"0";"2";"4";"3";"2";"2";"7";"0";"5";"3";"4";"4";"0";"3";"1";"1";"4";"0";"2";"4";"2";"3";"2";"1";"2";"1";"2";"2";"1";"0";"2";"4";"0";"1";"3";"3";"2";"0";"1";"3";"0";"0";"1";"1";"3";"3";"4";"0";"2";"2";"1";"0";"2";"2";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shardaben Anilbhai Patel";"Mahesana";"No";"95.13%";"31";"215";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"75";"Female";"Under Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"9";"6";"1";"5";"0";"0";"9";"1";"0";"3";"13";"0";"3";"6";"1";"12";"3";"4";"7";"2";"10";"3";"1";"13";"6";"3";"9";"4";"8";"3";"0";"2";"6";"1";"3";"7";"0";"2";"3";"1";"1";"9";"7";"2";"1";"4";"8";"5";"0";"5";"0";"2";"8";"4";"0";"2";"6";"1";"0";"4";"3";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shashi Tharoor";"Thiruvananthapuram";"No";"93.13%";"101";"275";"13";"Kerala";"Indian National Congress";"Elected";"23-05-2019";"In Office";"Third Term";"67";"Male";"Doctorate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"19";"26";"41";"1";"0";"4";"10";"0";"0";"6";"16";"3";"4";"9";"13";"12";"7";"1";"5";"3";"6";"5";"1";"11";"8";"3";"14";"8";"6";"0";"0";"1";"9";"4";"2";"5";"3";"4";"9";"2";"5";"6";"5";"7";"1";"3";"6";"5";"3";"10";"6";"2";"4";"6";"2";"4";"0";"1";"0";"3";"11";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shatrughan Sinha";"Asansol";"No";"66.57%";"0";"0";"0";"West Bengal";"All India Trinamool Congress";"Elected";"16-04-2022";"In Office";"Third Term";"77";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shobha Karandlaje";"Udupi Chikmagalur";"Yes";"88.60%";"20";"131";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"57";"Female";"Post Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"3";"8";"0";"1";"0";"0";"8";"0";"0";"1";"14";"1";"4";"14";"1";"5";"0";"1";"1";"0";"4";"1";"0";"5";"3";"0";"5";"6";"5";"2";"0";"5";"3";"0";"3";"6";"0";"0";"2";"0";"0";"5";"1";"3";"0";"2";"0";"0";"1";"4";"4";"1";"1";"9";"0";"0";"1";"0";"0";"1";"3";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shrikant Eknath Shinde";"Kalyan";"No";"79.53%";"116";"574";"12";"Maharashtra";"Shiv Sena";"Elected";"23-05-2019";"In Office";"Second Term";"37";"Male";"Professional Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"17";"64";"13";"3";"0";"5";"12";"0";"0";"10";"33";"4";"15";"37";"8";"17";"15";"6";"9";"1";"19";"17";"0";"27";"11";"7";"24";"8";"11";"6";"0";"10";"10";"5";"11";"15";"3";"6";"19";"4";"16";"10";"12";"13";"3";"5";"6";"5";"5";"11";"12";"12";"17";"11";"1";"3";"12";"3";"3";"12";"14";"14";"5";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle";"Satara";"No";"16.00%";"0";"0";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"23-05-2019";"14-09-2019";"Third Term";"57";"Male";"Diploma Course";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
