"Name";"Constituency";"Attendance";"Debates";"Questions";"Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Lok Sabha";"Debates (Ls - Matters Under (Rule-377))";"Debates (Special Mention)";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Budget (Railways))";"Debates (Submissions By Members)";"Debates (Motion Of Thanks On The President'S Address)";"Questions (Housing And Urban Affairs)";"Questions (Steel)";"Questions (Women And Child Development)";"Questions (Home Affairs)";"Questions (Finance)";"Questions (Defence)";"Questions (Health And Family Welfare)";"Questions (Civil Aviation)";"Questions (Railways)";"Questions (Commerce And Industry)";"Questions (Drinking Water And Sanitation)";"Questions (Coal)";"Questions (Water Resources, River Development And Ganga Rejuvenation)";"Questions (External Affairs)";"Questions (Textiles)";"Questions (Urban Development)";"Questions (Prime Minister)";"Questions (Shipping)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Labour And Employment)";"Questions (Culture)";"Questions (Power)";"Questions (Agriculture And Farmers Welfare)";"Questions (Human Resource Development)";"Questions (Agriculture)";"Questions (Road Transport And Highways)";"Questions (Minority Affairs)";"Questions (Mines)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Environment, Forests And Climate Change)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Petroleum And Natural Gas)";"Questions (New And Renewable Energy)";"Questions (Tourism)";"Questions (Information And Broadcasting)";"Questions (Social Justice And Empowerment)";"Questions (Micro, Small And Medium Enterprises)";"Debates (Private Members' Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Questions (Communications)";"Questions (Environment, Forest And Climate Change)";"Questions (Food Processing Industries)";"Questions (Tribal Affairs)";"Questions (Electronics And Information Technology)";"Questions (Youth Affairs And Sports)";"Questions (Chemicals And Fertilizers)";"Questions (Panchayati Raj)";"Questions (Ayush)";"Questions (Science And Technology)";"Questions (Law And Justice)";"Questions (Statistics And Programme Implementation)";"Questions (Skill Development And Entrepreneurship)";"Questions (Corporate Affairs)";"Questions (Earth Sciences)";"Questions (Skill Development, Entrepreneurship, Youth Affairs And Sports)";"Questions (Development Of North Eastern Region)";"Debates (Private Members' Bills)";"Debates (Statutory Resolution And Government Bill)";"Questions (Planning)";"Questions (Water Resources)";"Debates (Government Resolutions)";"Questions (Overseas Indian Affairs)";"Debates (Others)";"Debates (Adjournment Motion)";"Questions (Personnel, Public Grievances And Pensions)";"Debates (Felicitations)";"Questions (Parliamentary Affairs)";"Debates (Ls - No-Confidence Motion (Rule-198))";"Debates (Clarification On The Statement By Minister)";"Debates (Statutory Resolutions)";"Debates (Budget (States))";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Debates (Ls - Personal Explanation By Members (Rule-357))";"Questions (Atomic Energy)"
"Shatrughan Sinha";"Patna Sahib";"67.82%";"0";"0";"0";"Bihar";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"72";"Male";"Graduate";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sher Singh Ghubaya";"Ferozpur";"66.47%";"44";"203";"0";"Punjab";"Shiromani Akali Dal";"Elected";"18-May-14";"In office";"Second";"56";"Male";"Matric";"16th";"0";"15";"18";"6";"2";"1";"0";"0";"2";"4";"6";"6";"16";"4";"19";"6";"9";"1";"4";"5";"1";"1";"0";"2";"8";"0";"1";"0";"5";"4";"0";"3";"13";"16";"1";"10";"1";"1";"0";"1";"5";"6";"7";"0";"3";"5";"0";"0";"0";"7";"4";"2";"1";"0";"0";"4";"1";"6";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shibu Soren";"Dumka";"35.06%";"0";"0";"0";"Jharkhand";"Jharkhand Mukti Morcha";"Elected";"18-May-14";"In office";"Eighth";"75";"Male";"Matric";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shivaji Adhalrao Patil";"Shirur";"69.41%";"36";"1103";"16";"Maharashtra";"Shiv Sena";"Elected";"18-May-14";"In office";"Third";"62";"Male";"Inter/ Higher Secondary";"16th";"1";"20";"0";"10";"0";"3";"1";"1";"4";"2";"26";"44";"50";"40";"86";"35";"94";"42";"10";"11";"30";"8";"18";"13";"9";"3";"8";"34";"27";"19";"7";"28";"55";"71";"25";"45";"0";"8";"8";"20";"30";"30";"8";"11";"7";"5";"12";"0";"0";"15";"12";"15";"3";"8";"4";"16";"1";"1";"12";"3";"1";"7";"3";"1";"2";"0";"0";"0";"9";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shobha Karandlaje";"Udupi Chikmagalur";"91.88%";"111";"736";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"52";"Female";"Post Graduate";"16th";"12";"63";"0";"15";"6";"4";"5";"5";"6";"9";"22";"13";"31";"11";"44";"18";"70";"21";"21";"4";"12";"2";"9";"12";"12";"5";"9";"19";"9";"14";"6";"9";"21";"45";"17";"22";"10";"0";"3";"20";"21";"23";"15";"3";"10";"29";"1";"0";"0";"10";"17";"1";"9";"4";"8";"19";"1";"9";"5";"7";"0";"6";"0";"1";"4";"0";"0";"0";"4";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shrikant Eknath Shinde";"Kalyan";"83.59%";"136";"904";"8";"Maharashtra";"Shiv Sena";"Elected";"18-May-14";"In office";"First";"32";"Male";"Professional Post Graduate";"16th";"10";"101";"11";"7";"2";"2";"3";"0";"10";"2";"21";"30";"51";"23";"72";"31";"75";"37";"14";"8";"28";"14";"13";"16";"12";"6";"10";"19";"11";"15";"4";"20";"44";"45";"8";"40";"0";"4";"7";"14";"19";"20";"8";"9";"5";"7";"7";"0";"0";"15";"13";"9";"0";"7";"8";"22";"1";"4";"14";"8";"0";"7";"5";"3";"1";"0";"0";"0";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle";"Satara";"30.00%";"0";"0";"0";"Maharashtra";"Nationalist Congress Party";"Elected";"18-May-14";"In office";"Second";"53";"Male";"Diploma Course";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shrirang Appa Barne";"Maval";"88.18%";"289";"1113";"20";"Maharashtra";"Shiv Sena";"Elected";"18-May-14";"In office";"First";"55";"Male";"Matric";"16th";"22";"215";"8";"25";"6";"4";"5";"3";"8";"2";"28";"45";"53";"35";"79";"30";"97";"50";"11";"6";"28";"11";"19";"13";"13";"8";"8";"38";"25";"24";"5";"26";"47";"73";"28";"43";"0";"7";"9";"18";"28";"33";"7";"11";"4";"5";"11";"0";"0";"15";"16";"13";"4";"7";"1";"18";"1";"4";"14";"2";"1";"6";"4";"3";"2";"0";"0";"0";"10";"6";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shyama Charan Gupta";"Allahabad";"92.12%";"29";"71";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"74";"Male";"Professional Graduate";"16th";"11";"17";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"12";"3";"3";"1";"6";"0";"2";"0";"4";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"2";"6";"4";"0";"2";"0";"0";"6";"0";"0";"0";"0";"5";"1";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sidhant Mohapatra";"Berhampur";"73.76%";"6";"0";"0";"Odisha";"Biju Janata Dal";"Elected";"18-May-14";"In office";"Second";"52";"Male";"Professional Post Graduate";"16th";"3";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Siraj Uddin Ajmal";"Barpeta";"34.82%";"29";"285";"0";"Assam";"All India United Democratic Front";"Elected";"18-May-14";"In office";"First";"61";"Male";"Under Graduate";"16th";"1";"10";"11";"4";"1";"0";"1";"1";"1";"0";"12";"21";"11";"5";"11";"3";"6";"7";"5";"0";"7";"6";"0";"3";"4";"2";"3";"4";"16";"5";"3";"3";"13";"16";"8";"12";"12";"0";"3";"7";"14";"6";"2";"3";"1";"2";"5";"0";"0";"4";"3";"3";"1";"3";"5";"2";"6";"2";"1";"4";"0";"2";"0";"1";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sisir Kumar Adhikari";"Kanthi";"45.12%";"0";"247";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"Second";"77";"Male";"Inter/ Higher Secondary";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4";"1";"22";"21";"9";"17";"6";"7";"3";"1";"3";"5";"12";"1";"4";"7";"4";"0";"5";"4";"5";"6";"3";"9";"7";"3";"8";"1";"1";"5";"4";"4";"8";"2";"2";"4";"3";"1";"0";"0";"6";"3";"1";"2";"4";"2";"2";"0";"0";"1";"1";"1";"0";"1";"2";"1";"4";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sona Ram";"Barmer";"95.18%";"44";"372";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Fourth";"74";"Male";"Professional Graduate";"16th";"31";"10";"0";"1";"2";"0";"0";"0";"3";"1";"11";"17";"17";"13";"24";"5";"20";"7";"9";"3";"11";"8";"5";"4";"5";"3";"2";"8";"18";"12";"7";"7";"14";"17";"10";"5";"6";"4";"1";"14";"10";"7";"6";"5";"2";"6";"2";"0";"0";"1";"5";"0";"7";"1";"4";"2";"0";"5";"1";"3";"0";"3";"4";"0";"4";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sonia Gandhi";"Rae Bareli";"60.18%";"6";"0";"0";"Uttar Pradesh";"Indian National Congress";"Elected";"18-May-14";"In office";"Fourth";"72";"Female";"Diploma Course";"16th";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S.P. Muddahanumegowda";"Tumkur";"92.06%";"116";"642";"0";"Karnataka";"Indian National Congress";"Elected";"18-May-14";"In office";"First";"64";"Male";"Professional Graduate";"16th";"31";"32";"10";"22";"8";"3";"4";"5";"4";"7";"9";"13";"41";"11";"31";"20";"16";"19";"10";"13";"11";"8";"10";"4";"17";"10";"8";"21";"12";"19";"5";"8";"21";"28";"6";"14";"8";"6";"7";"16";"23";"15";"14";"8";"13";"13";"14";"0";"0";"6";"11";"6";"7";"8";"5";"14";"3";"10";"5";"8";"3";"9";"4";"6";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S.P.Y. Reddy";"Nandyal";"14.76%";"0";"0";"0";"Andhra Pradesh";"Yuvajana Sramika Rythu Congress Party";"Elected";"18-May-14";"In office";"Third";"68";"Male";"Professional Graduate";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S. Rajendran";"Viluppuram";"83.71%";"17";"303";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"23-02-2019";"First";"62";"Male";"Post Graduate";"16th";"7";"6";"0";"2";"2";"0";"0";"0";"6";"0";"2";"15";"12";"14";"24";"15";"9";"17";"1";"5";"5";"11";"2";"1";"14";"4";"0";"3";"4";"4";"2";"5";"14";"19";"1";"4";"3";"2";"2";"2";"9";"8";"8";"7";"2";"2";"1";"0";"0";"3";"4";"2";"2";"1";"2";"5";"2";"1";"9";"0";"1";"1";"5";"4";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sreemati Dev Varma (Moon Moon Sen)";"Bankura";"69.00%";"1";"0";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"First";"65";"Female";"Post Graduate";"16th";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S.R. Vijayakumar";"Chennai Central";"77.53%";"63";"918";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"First";"45";"Male";"Professional Graduate";"16th";"10";"28";"5";"11";"4";"4";"0";"1";"3";"3";"5";"38";"59";"34";"55";"41";"35";"42";"3";"14";"17";"19";"12";"13";"20";"23";"8";"10";"2";"24";"13";"17";"52";"45";"10";"29";"12";"4";"11";"9";"23";"17";"8";"14";"15";"11";"2";"0";"0";"9";"13";"4";"6";"3";"17";"19";"2";"8";"21";"11";"2";"6";"7";"9";"1";"3";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S.S. Ahluwalia";"Darjeeling";"86.25%";"30";"0";"0";"West Bengal";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"67";"Male";"Professional Graduate";"16th";"0";"10";"8";"1";"2";"1";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S. Selvakumara Chinnayan";"Erode";"71.35%";"24";"97";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"First";"60";"Male";"Post Graduate";"16th";"7";"9";"5";"0";"2";"1";"0";"0";"0";"0";"0";"6";"14";"1";"1";"8";"9";"2";"1";"0";"2";"4";"1";"1";"2";"0";"1";"3";"2";"3";"0";"1";"2";"4";"1";"2";"0";"1";"1";"1";"2";"1";"1";"0";"2";"0";"1";"0";"0";"0";"1";"2";"0";"0";"3";"2";"1";"1";"3";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Subhash Baheria";"Bhilwara";"96.35%";"62";"40";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"62";"Male";"Graduate";"16th";"28";"17";"10";"4";"0";"2";"1";"0";"1";"0";"0";"0";"6";"0";"4";"0";"5";"1";"2";"0";"3";"0";"3";"0";"0";"0";"0";"0";"2";"0";"0";"1";"2";"3";"1";"1";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Subhash Patel";"Khargone";"89.71%";"8";"96";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"40";"Male";"Post Graduate";"16th";"0";"7";"0";"0";"1";"0";"0";"0";"1";"2";"0";"4";"0";"0";"11";"2";"1";"1";"1";"4";"9";"1";"2";"1";"1";"0";"3";"1";"1";"0";"2";"0";"7";"3";"2";"1";"1";"0";"1";"0";"5";"1";"2";"3";"4";"1";"2";"0";"0";"0";"2";"3";"0";"1";"4";"0";"0";"1";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Subhash Ramrao Bhamre";"Dhule";"75.88%";"9";"218";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"65";"Male";"Professional Post Graduate";"16th";"4";"0";"0";"1";"1";"3";"0";"0";"0";"2";"4";"4";"6";"9";"9";"6";"12";"8";"1";"5";"5";"5";"2";"3";"8";"2";"6";"5";"7";"4";"2";"3";"1";"12";"7";"5";"2";"0";"2";"7";"11";"7";"1";"4";"0";"3";"2";"0";"0";"0";"0";"0";"4";"0";"4";"5";"3";"3";"4";"0";"1";"4";"2";"1";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Subrata Bakshi";"Kolkata Dakshin";"23.88%";"0";"0";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"Second";"68";"Male";"Professional Graduate";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sudhir Gupta";"Mandsour";"88.88%";"358";"1022";"1";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"59";"Male";"Post Graduate";"16th";"16";"315";"2";"6";"4";"3";"9";"1";"4";"3";"6";"55";"65";"35";"70";"38";"49";"53";"4";"16";"23";"31";"4";"13";"18";"26";"7";"24";"9";"23";"13";"18";"53";"48";"13";"35";"8";"4";"11";"14";"26";"16";"11";"18";"12";"11";"3";"0";"0";"8";"13";"2";"4";"4";"17";"12";"0";"7";"20";"12";"2";"5";"7";"10";"1";"4";"0";"0";"2";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sudip Bandyopadhyay";"Kolkata Uttar";"64.82%";"55";"0";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"Fourth";"66";"Male";"Graduate";"16th";"1";"17";"4";"2";"6";"1";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Sugata Bose";"Jadavpur";"54.24%";"31";"3";"2";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"First";"62";"Male";"Doctorate";"16th";"1";"7";"7";"5";"6";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Sukender Reddy Gutha";"Nalgonda";"48.76%";"13";"368";"0";"Telangana";"Indian National Congress";"Elected";"18-May-14";"In office";"Third";"65";"Male";"Graduate";"16th";"4";"2";"2";"0";"1";"2";"2";"0";"1";"3";"4";"9";"47";"3";"13";"11";"23";"11";"3";"3";"8";"7";"7";"3";"3";"3";"1";"11";"12";"11";"4";"12";"19";"25";"3";"4";"5";"1";"1";"2";"6";"11";"1";"4";"5";"2";"1";"0";"0";"9";"4";"1";"2";"8";"5";"16";"2";"0";"1";"10";"1";"1";"2";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sukhbir Singh Jaunapuria";"Tonk-Sawai Madhopur";"93.94%";"71";"316";"10";"Rajasthan";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"61";"Male";"Graduate";"16th";"23";"43";"1";"1";"0";"2";"0";"1";"2";"0";"3";"8";"13";"8";"20";"4";"30";"3";"3";"0";"11";"2";"0";"4";"1";"0";"2";"9";"8";"9";"6";"2";"25";"19";"3";"28";"1";"1";"1";"6";"9";"6";"4";"3";"2";"9";"4";"0";"0";"2";"8";"0";"1";"0";"12";"1";"0";"4";"0";"6";"1";"5";"0";"4";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sultan Ahmed";"Uluberia";"58.75%";"16";"233";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"04-09-2017";"Second";"65";"Male";"Graduate";"16th";"10";"2";"1";"1";"0";"0";"1";"1";"1";"0";"0";"12";"23";"6";"14";"16";"10";"10";"4";"2";"5";"6";"7";"5";"4";"1";"2";"3";"5";"0";"0";"1";"3";"11";"4";"5";"5";"1";"2";"7";"13";"3";"1";"3";"3";"1";"3";"0";"0";"0";"0";"2";"2";"0";"3";"5";"0";"6";"4";"3";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sumedhanand Saraswati";"Sikar";"93.24%";"86";"550";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"67";"Male";"Post Graduate";"16th";"10";"53";"2";"10";"4";"2";"4";"0";"1";"1";"3";"17";"39";"11";"29";"13";"21";"15";"7";"4";"18";"7";"3";"6";"19";"2";"5";"15";"18";"16";"3";"8";"22";"45";"19";"17";"3";"6";"3";"8";"15";"17";"10";"6";"5";"8";"0";"0";"0";"5";"5";"5";"4";"2";"5";"8";"2";"11";"6";"9";"3";"8";"3";"2";"0";"3";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Sunil Kumar Jakhar";"Gurdaspur";"85.00%";"3";"24";"0";"Punjab";"Indian National Congress";"Elected";"15-Dec-17";"In office";"First";"65";"Male";"Post Graduate";"16th";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"2";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sunil Baliram Gaikwad";"Latur";"95.18%";"42";"683";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"48";"Male";"Doctorate";"16th";"4";"14";"3";"11";"3";"2";"0";"4";"3";"2";"11";"28";"42";"25";"45";"28";"35";"27";"6";"15";"12";"16";"10";"9";"10";"15";"3";"18";"5";"13";"10";"9";"32";"31";"11";"25";"8";"3";"7";"12";"18";"10";"6";"6";"9";"11";"4";"0";"0";"4";"6";"3";"5";"2";"14";"11";"0";"7";"16";"3";"2";"4";"8";"3";"0";"3";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sunil Kumar Mondal";"Bardhaman Purba";"83.00%";"8";"328";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"First";"60";"Male";"Professional Graduate";"16th";"1";"4";"2";"0";"0";"1";"0";"0";"1";"2";"7";"12";"22";"13";"23";"7";"12";"3";"7";"7";"18";"4";"4";"2";"7";"2";"3";"5";"6";"7";"0";"1";"5";"12";"10";"8";"1";"1";"2";"7";"27";"4";"2";"4";"1";"2";"5";"0";"0";"4";"4";"3";"8";"1";"13";"6";"3";"3";"1";"2";"1";"3";"2";"3";"0";"2";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
