"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Special Mention)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Budget (Railways))";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Submissions By Members)";"Debates (Ls - Motion To Consider Policy, Situation, Statement Or Any Other Matter (Rule- 191 & 342))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Questions (Tribal Affairs)";"Questions (Finance)";"Questions (Health And Family Welfare)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Railways)";"Questions (Human Resource Development)";"Questions (Urban Development)";"Questions (Home Affairs)";"Questions (Agriculture)";"Questions (Civil Aviation)";"Questions (Prime Minister)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Environment And Forests)";"Questions (Labour And Employment)";"Questions (Defence)";"Questions (Power)";"Questions (Social Justice And Empowerment)";"Questions (Road Transport And Highways)";"Questions (Steel)";"Questions (Petroleum And Natural Gas)";"Questions (Minority Affairs)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Commerce And Industry)";"Questions (Overseas Indian Affairs)";"Questions (External Affairs)";"Questions (Chemicals And Fertilizers)";"Questions (Law And Justice)";"Questions (Mines)";"Questions (Women And Child Development)";"Questions (New And Renewable Energy)";"Questions (Shipping)";"Questions (Tourism)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Information And Broadcasting)";"Questions (Textiles)";"Questions (Water Resources)";"Questions (Culture)";"Questions (Youth Affairs And Sports)";"Questions (Coal)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Drinking Water And Sanitation)";"Questions (Development Of North Eastern Region)";"Questions (Earth Sciences)";"Questions (Panchayati Raj)";"Questions (Food Processing Industries)";"Questions (Statistics And Programme Implementation)";"Questions (Science And Technology)";"Debates (Private Members' Bills)";"Debates (Private Members' Resolutions)";"Debates (Government Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Budget (States))";"Debates (Ls - Matters Of Urgent Public Importance (Rule-184))";"Debates (Statutory Resolutions)";"Debates (Felicitations)";"Debates (Adjournment Motion)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Parliamentary Affairs)";"Debates (Others)";"Debates (Clarification On The Statement By Minister)";"Questions (Planning)";"Debates (Ls - Explanation By Members (Rule-199))";"Questions (Housing And Urban Affairs)";"Questions (Water Resources, River Development And Ganga Rejuvenation)";"Questions (Agriculture And Farmers Welfare)";"Questions (Environment, Forests And Climate Change)";"Questions (Communications)";"Questions (Environment, Forest And Climate Change)";"Questions (Electronics And Information Technology)";"Questions (Ayush)";"Questions (Skill Development And Entrepreneurship)";"Questions (Skill Development, Entrepreneurship, Youth Affairs And Sports)";"Debates (Statutory Resolution And Government Bill)";"Questions (Personnel, Public Grievances And Pensions)";"Debates (Ls - No-Confidence Motion (Rule-198))";"Debates (Ls - Personal Explanation By Members (Rule-357))";"Questions (Atomic Energy)";"Debates (Motion Of Thanks On The President�S Address)";"Questions (Ports, Shipping And Waterways)";"Questions (Jal Shakti)";"Questions (Education)";"Questions (Cooperation)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (Statiscs And Programme Implementation)";"Debates (Discussion)";"Debates (Statement By Minister)";"Questions (Consumer Affairs)";"Questions (Micro)";"Questions (Heavy Industries)";"Questions (Space)";"Questions (Communication)"
"Ajay Maken";"New Delhi";"Yes";"40.33%";"0";"0";"0";"Delhi";"Indian National Congress";"Elected";"18 May 09";"In office";"0";"50.0";"Male";"Graduate";"This MP was a Minister. He tendered his resignation on 16th Jun, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 5th Aug, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ajit Singh";"Baghpat";"Yes";"47.78%";"2";"0";"0";"Uttar Pradesh";"Rashtriya Lok Dal";"Elected";"18 May 09";"In office";"0";"75.0";"Male";"Post Graduate";"This MP was appointed a minister on 18th Dec, 2011. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 16th Dec, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Akhilesh Yadav";"Kannauj";"No";"57.70%";"4";"0";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"18 May 09";"02/05/2012";"0";"40.0";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"A.K.S. Vijayan";"Nagapattinam";"No";"59.00%";"31";"440";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"0";"52.0";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"3.0";"19.0";"0.0";"2.0";"5.0";"2.0";"0.0";"0.0";"0.0";"3.0";"24.0";"27.0";"6.0";"10.0";"19.0";"23.0";"7.0";"26.0";"19.0";"9.0";"8.0";"24.0";"8.0";"6.0";"9.0";"12.0";"7.0";"15.0";"2.0";"21.0";"0.0";"14.0";"10.0";"14.0";"1.0";"5.0";"2.0";"7.0";"3.0";"8.0";"13.0";"9.0";"2.0";"5.0";"8.0";"7.0";"15.0";"5.0";"2.0";"10.0";"3.0";"6.0";"0.0";"2.0";"0.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Amarnath Pradhan";"Sambalpur";"No";"83.75%";"26";"187";"0";"Orissa";"Indian National Congress";"Elected";"18 May 09";"In office";"0";"55.0";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1.0";"22.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"12.0";"11.0";"0.0";"1.0";"12.0";"17.0";"0.0";"8.0";"7.0";"6.0";"6.0";"5.0";"8.0";"3.0";"3.0";"4.0";"1.0";"11.0";"1.0";"9.0";"0.0";"2.0";"6.0";"9.0";"1.0";"1.0";"4.0";"0.0";"8.0";"0.0";"4.0";"4.0";"1.0";"1.0";"3.0";"2.0";"3.0";"0.0";"4.0";"4.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ambica Banerjee";"Howrah";"No";"62.43%";"3";"154";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18 May 09";"25/04/2013";"0";"85.0";"Male";"Graduate";"Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"11.0";"12.0";"0.0";"0.0";"3.0";"7.0";"1.0";"4.0";"4.0";"15.0";"5.0";"14.0";"6.0";"6.0";"1.0";"1.0";"3.0";"3.0";"2.0";"2.0";"1.0";"5.0";"4.0";"6.0";"2.0";"0.0";"3.0";"4.0";"0.0";"1.0";"0.0";"0.0";"1.0";"2.0";"1.0";"6.0";"3.0";"2.0";"1.0";"3.0";"3.0";"2.0";"0.0";"1.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anand Prakash Paranjpe";"Kalyan";"No";"69.25%";"11";"820";"0";"Maharashtra";"Shiv Sena";"Elected";"18 May 09";"In office";"0";"40.0";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2.0";"1.0";"0.0";"0.0";"6.0";"0.0";"0.0";"0.0";"2.0";"2.0";"79.0";"62.0";"16.0";"9.0";"40.0";"45.0";"11.0";"45.0";"25.0";"33.0";"24.0";"30.0";"34.0";"9.0";"24.0";"19.0";"2.0";"31.0";"2.0";"19.0";"0.0";"40.0";"20.0";"44.0";"1.0";"12.0";"19.0";"11.0";"4.0";"5.0";"4.0";"18.0";"7.0";"6.0";"15.0";"10.0";"7.0";"4.0";"4.0";"10.0";"9.0";"1.0";"0.0";"1.0";"0.0";"1.0";"3.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anandrao Adsul";"Amravati";"No";"72.06%";"35";"1266";"3";"Maharashtra";"Shiv Sena";"Elected";"18 May 09";"In office";"0";"66.0";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"6.0";"0.0";"6.0";"8.0";"2.0";"1.0";"7.0";"1.0";"4.0";"8.0";"78.0";"112.0";"7.0";"3.0";"57.0";"112.0";"16.0";"79.0";"71.0";"34.0";"28.0";"43.0";"54.0";"27.0";"36.0";"29.0";"12.0";"49.0";"4.0";"73.0";"1.0";"52.0";"47.0";"41.0";"1.0";"10.0";"20.0";"11.0";"5.0";"23.0";"6.0";"5.0";"6.0";"2.0";"9.0";"18.0";"31.0";"1.0";"8.0";"12.0";"7.0";"2.0";"0.0";"1.0";"5.0";"8.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anant Gangaram Geete";"Raigad";"No";"73.12%";"55";"10";"1";"Maharashtra";"Shiv Sena";"Elected";"18 May 09";"In office";"0";"62.0";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4.0";"0.0";"13.0";"1.0";"0.0";"3.0";"17.0";"1.0";"11.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"0.0";"0.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anantha Venkatarami Reddy";"Anantapur";"No";"74.75%";"14";"552";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"0";"57.0";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1.0";"9.0";"0.0";"0.0";"4.0";"0.0";"0.0";"0.0";"0.0";"1.0";"31.0";"55.0";"2.0";"5.0";"27.0";"21.0";"6.0";"32.0";"48.0";"22.0";"10.0";"20.0";"7.0";"8.0";"17.0";"16.0";"7.0";"23.0";"14.0";"14.0";"1.0";"7.0";"23.0";"21.0";"7.0";"16.0";"8.0";"14.0";"5.0";"3.0";"5.0";"2.0";"9.0";"1.0";"7.0";"8.0";"12.0";"1.0";"3.0";"1.0";"3.0";"1.0";"0.0";"1.0";"0.0";"2.0";"5.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ananth Kumar";"Bangalore South";"No";"84.06%";"23";"234";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"0";"54.0";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"11.0";"0.0";"3.0";"2.0";"1.0";"0.0";"1.0";"0.0";"4.0";"2.0";"20.0";"12.0";"1.0";"4.0";"7.0";"15.0";"0.0";"15.0";"14.0";"10.0";"10.0";"5.0";"8.0";"6.0";"11.0";"8.0";"1.0";"5.0";"0.0";"4.0";"2.0";"17.0";"4.0";"4.0";"0.0";"1.0";"3.0";"2.0";"0.0";"1.0";"5.0";"4.0";"3.0";"2.0";"3.0";"3.0";"1.0";"7.0";"4.0";"0.0";"1.0";"1.0";"0.0";"3.0";"1.0";"2.0";"0.0";"2.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anant Kumar Hegde";"Uttara Kannada";"No";"72.06%";"14";"574";"2";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"0";"45.0";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4.0";"2.0";"3.0";"0.0";"0.0";"0.0";"2.0";"0.0";"2.0";"0.0";"67.0";"13.0";"3.0";"3.0";"13.0";"9.0";"1.0";"19.0";"41.0";"3.0";"37.0";"35.0";"11.0";"19.0";"3.0";"23.0";"1.0";"18.0";"4.0";"61.0";"0.0";"20.0";"15.0";"46.0";"0.0";"14.0";"20.0";"6.0";"3.0";"1.0";"1.0";"3.0";"3.0";"3.0";"11.0";"13.0";"8.0";"1.0";"2.0";"12.0";"2.0";"1.0";"0.0";"1.0";"0.0";"3.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Andimuthu Raja";"Nilgiris";"Yes";"42.55%";"0";"0";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"0";"50.0";"Male";"Post Graduate";"This MP was a Minister. He tendered his resignation on 14th Nov, 2010. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 15th Nov, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anirudhan Sampath";"Attingal";"No";"77.31%";"93";"400";"1";"Kerala";"Communist Party of India (Marxist)";"Elected";"18 May 09";"In office";"0";"51.0";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"39.0";"18.0";"15.0";"5.0";"5.0";"1.0";"3.0";"1.0";"3.0";"0.0";"18.0";"30.0";"1.0";"0.0";"26.0";"21.0";"0.0";"37.0";"20.0";"20.0";"14.0";"17.0";"10.0";"8.0";"17.0";"6.0";"0.0";"15.0";"0.0";"6.0";"3.0";"13.0";"7.0";"9.0";"6.0";"8.0";"8.0";"3.0";"1.0";"13.0";"6.0";"10.0";"4.0";"4.0";"5.0";"8.0";"5.0";"1.0";"6.0";"4.0";"4.0";"1.0";"0.0";"0.0";"0.0";"0.0";"2.0";"3.0";"0.0";"0.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Annu Tandon";"Unnao";"No";"92.94%";"30";"307";"0";"Uttar Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"0";"56.0";"Female";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"14.0";"0.0";"2.0";"2.0";"3.0";"0.0";"3.0";"0.0";"6.0";"2.0";"9.0";"21.0";"3.0";"4.0";"7.0";"13.0";"2.0";"10.0";"22.0";"8.0";"19.0";"13.0";"17.0";"4.0";"4.0";"5.0";"6.0";"10.0";"0.0";"0.0";"1.0";"4.0";"15.0";"8.0";"0.0";"3.0";"6.0";"3.0";"0.0";"6.0";"11.0";"1.0";"1.0";"9.0";"2.0";"7.0";"7.0";"6.0";"5.0";"1.0";"5.0";"3.0";"0.0";"1.0";"10.0";"6.0";"0.0";"7.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anto Antony";"Pathanamthitta";"No";"86.81%";"79";"618";"0";"Kerala";"Indian National Congress";"Elected";"18 May 09";"In office";"0";"56.0";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"31.0";"30.0";"5.0";"4.0";"3.0";"0.0";"2.0";"0.0";"2.0";"0.0";"43.0";"45.0";"6.0";"0.0";"29.0";"31.0";"5.0";"29.0";"56.0";"19.0";"16.0";"28.0";"14.0";"16.0";"9.0";"14.0";"6.0";"10.0";"1.0";"25.0";"2.0";"20.0";"13.0";"45.0";"17.0";"12.0";"14.0";"5.0";"1.0";"6.0";"3.0";"10.0";"8.0";"10.0";"4.0";"3.0";"8.0";"2.0";"7.0";"1.0";"2.0";"3.0";"0.0";"9.0";"3.0";"7.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anup Kumar Saha";"Bardhaman Purba";"No";"87.25%";"21";"101";"0";"West Bengal";"Communist Party of India (Marxist)";"Elected";"18 May 09";"In office";"0";"58.0";"Male";"Doctorate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"12.0";"0.0";"5.0";"1.0";"0.0";"0.0";"2.0";"1.0";"0.0";"0.0";"5.0";"27.0";"0.0";"0.0";"4.0";"6.0";"1.0";"2.0";"4.0";"4.0";"4.0";"3.0";"1.0";"5.0";"1.0";"5.0";"1.0";"1.0";"0.0";"6.0";"0.0";"2.0";"1.0";"2.0";"0.0";"0.0";"5.0";"2.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anurag Singh Thakur";"Hamirpur";"No";"82.38%";"72";"612";"1";"Himachal Pradesh";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"0";"39.0";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"22.0";"26.0";"5.0";"2.0";"6.0";"2.0";"4.0";"1.0";"1.0";"3.0";"44.0";"43.0";"1.0";"3.0";"36.0";"29.0";"5.0";"40.0";"43.0";"19.0";"20.0";"16.0";"18.0";"13.0";"37.0";"9.0";"9.0";"22.0";"1.0";"19.0";"0.0";"33.0";"14.0";"20.0";"3.0";"12.0";"3.0";"11.0";"1.0";"5.0";"8.0";"1.0";"7.0";"2.0";"9.0";"1.0";"19.0";"4.0";"7.0";"1.0";"4.0";"1.0";"1.0";"3.0";"2.0";"4.0";"2.0";"4.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
